No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,AAPL,Apple Inc.,2991114682368,194.27,1.01%,383285000000
2,MSFT,Microsoft Corporation,2741017509888,370.95,0.58%,218310000000
3,GOOGL,Alphabet Inc.,1635521658880,136.93,5.31%,297132000000
4,AMZN,"Amazon.com, Inc.",1493469757440,146.88,1.63%,554028000000
5,NVDA,NVIDIA Corporation,1123924180992,465.96,2.40%,44870000000
6,META,"Meta Platforms, Inc.",815802089472,326.59,2.88%,126955000000
7,BRK.B,Berkshire Hathaway Inc.,766709006336,352.70,0.09%,401775000000
8,TSLA,"Tesla, Inc.",760938037248,242.64,1.37%,95924000000
9,LLY,Eli Lilly and Company,559379185664,588.27,-0.17%,32072500000
10,V,Visa Inc.,522143825920,255.82,0.60%,32653000000
11,TSM,Taiwan Semiconductor Manufacturing Company Limited,516566417408,99.29,1.47%,66968366202
12,UNH,UnitedHealth Group Incorporated,507672821760,548.27,-0.23%,359982000000
13,AVGO,Broadcom Inc.,471289823232,922.26,2.06%,35819000000
14,JPM,JPMorgan Chase & Co.,451893788672,156.79,0.31%,154077000000
15,NVO,Novo Nordisk A/S,446090182656,96.81,-0.80%,30424113475
16,WMT,Walmart Inc.,414711087104,152.46,-0.66%,638785000000
17,XOM,Exxon Mobil Corporation,396119867392,98.42,-0.70%,355667000000
18,MA,Mastercard Incorporated,384844529664,413.15,0.67%,24367000000
19,JNJ,Johnson & Johnson,377028214784,155.40,-0.78%,95333000000
20,PG,The Procter & Gamble Company,345637912576,146.50,-0.10%,83265000000
21,HD,"The Home Depot, Inc.",324624613376,326.17,0.02%,153714000000
22,ORCL,Oracle Corporation,306892734464,112.87,0.75%,50962000000
23,ASML,ASML Holding N.V.,280795054080,699.65,1.09%,28459255319
24,ADBE,Adobe Inc.,271222210560,608.78,2.20%,18886000000
25,CVX,Chevron Corporation,269061013504,142.42,-0.08%,210242000000
26,COST,Costco Wholesale Corporation,268934152192,610.95,0.58%,242290000000
27,MRK,"Merck & Co., Inc.",267668537344,103.88,-1.66%,59314000000
28,ABBV,AbbVie Inc.,259834511360,147.97,1.09%,55138000000
29,TM,Toyota Motor Corporation,259811803136,190.24,0.18%,280288004060
30,KO,The Coca-Cola Company,253351821312,58.74,0.24%,45030000000
31,BAC,Bank of America Corporation,241606180864,30.66,0.43%,101154000000
32,CRM,"Salesforce, Inc.",241157849088,248.85,-0.11%,33954000000
33,PEP,"PepsiCo, Inc.",230302793728,167.46,-0.03%,91617000000
34,FMX,"Fomento Económico Mexicano, SAB de CV",227413770240,127.56,0.66%,34558624230
35,SHEL,Shell plc,210790580224,63.27,0.35%,386201000000
36,ACN,Accenture plc,210677727232,335.10,-0.09%,64111745000
37,MCD,McDonald's Corporation,208071606272,286.79,-0.02%,25014000000
38,AZN,AstraZeneca PLC,199105642496,63.51,-0.13%,44995000000
39,NVS,Novartis AG,197928058880,95.93,-1.15%,52323000000
40,AMD,"Advanced Micro Devices, Inc.",196275175424,128.37,9.89%,22111000000
41,NFLX,"Netflix, Inc.",195524788224,452.00,1.18%,32742525000
42,LIN,Linde plc,194106310656,398.65,-0.41%,32451000000
43,CSCO,"Cisco Systems, Inc.",193827995648,48.26,1.17%,58034000000
44,TMO,Thermo Fisher Scientific Inc.,190794350592,494.10,0.06%,43421000000
45,SAP,SAP SE,190329831424,159.34,0.78%,33643770571
46,PDD,PDD Holdings Inc.,188646490112,140.29,-1.20%,27314745117
47,BABA,Alibaba Group Holding Limited,185085722624,72.33,1.17%,125846217331
48,ABT,Abbott Laboratories,182182150144,104.05,-0.85%,39959000000
49,TMUS,"T-Mobile US, Inc.",179728564224,156.36,0.55%,78353000000
50,NKE,"NIKE, Inc.",176708976640,114.81,-1.12%,51469000000
51,INTC,Intel Corporation,173994328064,42.15,2.13%,52864000000
52,CMCSA,Comcast Corporation,167805583360,42.17,1.15%,120872000000
53,DIS,The Walt Disney Company,167474282496,92.35,0.93%,88898000000
54,VZ,Verizon Communications Inc.,161626619904,38.65,0.39%,134095000000
55,WFC,Wells Fargo & Company,161607974912,45.40,2.02%,81779000000
56,DHR,Danaher Corporation,161551613952,218.92,-0.83%,29566000000
57,PFE,Pfizer Inc.,161092091904,28.63,-0.56%,68538000000
58,TTE,TotalEnergies SE,160587792384,65.51,1.03%,228133000000
59,HDB,HDFC Bank Limited,160093339648,63.36,1.00%,13761085158
60,INTU,Intuit Inc.,158508154880,571.49,0.93%,14749000000
61,BHP,BHP Group Limited,158273077248,62.69,2.02%,53817000000
62,HSBC,HSBC Holdings plc,150059712512,38.82,0.78%,61596000000
63,IBM,International Business Machines Corporation,146354700288,160.22,-0.04%,61169000000
64,QCOM,QUALCOMM Incorporated,144645472256,132.94,2.29%,35820000000
65,AMGN,Amgen Inc.,144150200320,271.31,0.73%,26833000000
66,BA,The Boeing Company,143313010688,237.33,0.19%,75756000000
67,UNP,Union Pacific Corporation,142018052096,231.49,-0.08%,24140000000
68,TXN,Texas Instruments Incorporated,141725237248,157.68,1.04%,18112000000
69,PM,Philip Morris International Inc.,141424541696,91.12,0.02%,57457000000
70,NOW,"ServiceNow, Inc.",140066930688,687.68,0.21%,8474000000
71,BX,Blackstone Inc.,138430709760,113.86,1.56%,8441880000
72,SPGI,S&P Global Inc.,132340031488,417.38,-0.31%,12282000000
73,UPS,"United Parcel Service, Inc.",132295581696,156.50,0.78%,93074000000
74,COP,Conoco Phillips,131232555008,110.85,0.30%,62529000000
75,GE,General Electric Company,130400002048,119.48,-0.28%,70316000000
76,HON,Honeywell International Inc.,130393251840,197.79,,36408000000
77,MS,Morgan Stanley,130336432128,80.35,1.18%,53996000000
78,CAT,Caterpillar Inc.,130310488064,257.41,0.56%,66587000000
