No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,AAPL,Apple Inc.,2991114682368,194.27,1.01%,383285000000.0
2,MSFT,Microsoft Corporation,2741017509888,370.95,0.58%,218310000000.0
3,GOOGL,Alphabet Inc.,1635521658880,136.93,5.31%,297132000000.0
4,AMZN,"Amazon.com, Inc.",1493469757440,146.88,1.63%,554028000000.0
5,NVDA,NVIDIA Corporation,1123924180992,465.96,2.40%,44870000000.0
6,META,"Meta Platforms, Inc.",815802089472,326.59,2.88%,126955000000.0
7,BRK.B,Berkshire Hathaway Inc.,766709006336,352.7,0.09%,401775000000.0
8,TSLA,"Tesla, Inc.",760938037248,242.64,1.37%,95924000000.0
9,LLY,Eli Lilly and Company,559379185664,588.27,-0.17%,32072500000.0
10,V,Visa Inc.,522143825920,255.82,0.60%,32653000000.0
11,TSM,Taiwan Semiconductor Manufacturing Company Limited,516566417408,99.29,1.47%,66968366202.0
12,UNH,UnitedHealth Group Incorporated,507672821760,548.27,-0.23%,359982000000.0
13,AVGO,Broadcom Inc.,471289823232,922.26,2.06%,35819000000.0
14,JPM,JPMorgan Chase & Co.,451893788672,156.79,0.31%,154077000000.0
15,NVO,Novo Nordisk A/S,446090182656,96.81,-0.80%,30424113475.0
16,WMT,Walmart Inc.,414711087104,152.46,-0.66%,638785000000.0
17,XOM,Exxon Mobil Corporation,396119867392,98.42,-0.70%,355667000000.0
18,MA,Mastercard Incorporated,384844529664,413.15,0.67%,24367000000.0
19,JNJ,Johnson & Johnson,377028214784,155.4,-0.78%,95333000000.0
20,PG,The Procter & Gamble Company,345637912576,146.5,-0.10%,83265000000.0
21,HD,"The Home Depot, Inc.",324624613376,326.17,0.02%,153714000000.0
22,ORCL,Oracle Corporation,306892734464,112.87,0.75%,50962000000.0
23,ASML,ASML Holding N.V.,280795054080,699.65,1.09%,28459255319.0
24,ADBE,Adobe Inc.,271222210560,608.78,2.20%,18886000000.0
25,CVX,Chevron Corporation,269061013504,142.42,-0.08%,210242000000.0
26,COST,Costco Wholesale Corporation,268934152192,610.95,0.58%,242290000000.0
27,MRK,"Merck & Co., Inc.",267668537344,103.88,-1.66%,59314000000.0
28,ABBV,AbbVie Inc.,259834511360,147.97,1.09%,55138000000.0
29,TM,Toyota Motor Corporation,259811803136,190.24,0.18%,280288004060.0
30,KO,The Coca-Cola Company,253351821312,58.74,0.24%,45030000000.0
31,BAC,Bank of America Corporation,241606180864,30.66,0.43%,101154000000.0
32,CRM,"Salesforce, Inc.",241157849088,248.85,-0.11%,33954000000.0
33,PEP,"PepsiCo, Inc.",230302793728,167.46,-0.03%,91617000000.0
34,FMX,"Fomento Económico Mexicano, SAB de CV",227413770240,127.56,0.66%,34558624230.0
35,SHEL,Shell plc,210790580224,63.27,0.35%,386201000000.0
36,ACN,Accenture plc,210677727232,335.1,-0.09%,64111745000.0
37,MCD,McDonald's Corporation,208071606272,286.79,-0.02%,25014000000.0
38,AZN,AstraZeneca PLC,199105642496,63.51,-0.13%,44995000000.0
39,NVS,Novartis AG,197928058880,95.93,-1.15%,52323000000.0
40,AMD,"Advanced Micro Devices, Inc.",196275175424,128.37,9.89%,22111000000.0
41,NFLX,"Netflix, Inc.",195524788224,452.0,1.18%,32742525000.0
42,LIN,Linde plc,194106310656,398.65,-0.41%,32451000000.0
